日付,価格
1989-09-25,142.06
1989-09-26,142.26
1989-09-27,140.2
1989-09-28,140.48
1989-09-29,139.04
1989-10-02,139.57
1989-10-03,141.19
1989-10-04,141.52
1989-10-05,142.24
1989-10-06,142.39
1989-10-09,142.68
1989-10-10,144.48
1989-10-11,144.46
1989-10-12,144.12
1989-10-13,141.48
1989-10-16,141.79
1989-10-17,142.57
1989-10-18,141.48
1989-10-19,141.73
1989-10-20,142.41
1989-10-23,141.94
1989-10-24,141.37
1989-10-25,141.52
1989-10-26,141.95
1989-10-27,141.57
1989-10-30,142.2
1989-10-31,142.8
1989-11-01,143.68
1989-11-02,143.35
1989-11-03,143.31
1989-11-06,143.83
1989-11-07,142.86
1989-11-08,143.25
1989-11-09,143.05
1989-11-10,143.4
1989-11-13,143.83
1989-11-14,143.05
1989-11-15,143.8
1989-11-16,144.1
1989-11-17,144.3
1989-11-20,144.34
1989-11-21,143.55
1989-11-22,143.12
